movie_id;movie_title
tt0043859;No Highway (1951)
tt0043924;A Place in the Sun (1951)
tt0044079;Strangers on a Train (1951)
tt0044081;A Streetcar Named Desire (1951)
tt0044121;The Thing from Another World (1951)
tt0044207;When Worlds Collide (1951)
tt0044320;Abbott and Costello Meet Captain Kidd (1952)
tt0044391;The Bad and the Beautiful (1952)
tt0044509;Come Back, Little Sheba (1952)
tt0044557;Don't Bother to Knock (1952)
tt0044706;High Noon (1952)
tt0044741;Ikiru (1952)
tt0044789;Kansas City Confidential (1952)
tt0044829;The Lavender Hill Mob (1951)
tt0044863;Macao (1952)
tt0044913;Moglie per una notte (1952)
tt0044916;Monkey Business (1952)
tt0045053;The Prisoner of Zenda (1952)
tt0045061;The Quiet Man (1952)
tt0045112;Saikaku ichidai onna (1952)
tt0045152;Singin' in the Rain (1952)
tt0045161;The Sniper (1952)
tt0045274;Umberto D. (1952)
tt0045296;Viva Zapata! (1952)
tt0045323;What Price Glory (1952)
tt0045464;The 5,000 Fingers of Dr. T. (1953)
tt0045468;Abbott and Costello Go to Mars (1953)
tt0045469;Abbott and Costello Meet Dr. Jekyll and Mr. Hyde (1953)
tt0045546;The Beast from 20,000 Fathoms (1953)
tt0045555;The Big Heat (1953)
tt0045758;Fear and Desire (1953)
tt0045793;From Here to Eternity (1953)
tt0045810;Gentlemen Prefer Blondes (1953)
tt0045888;House of Wax (1953)
tt0045891;How to Marry a Millionaire (1953)
tt0045902;I, the Jury (1953)
tt0045920;It Came from Outer Space (1953)
tt0046029;Malta Story (1953)
tt0046126;Niagara (1953)
tt0046183;Peter Pan (1953)
tt0046187;Pickup on South Street (1953)
tt0046248;Robot Monster (1953)
tt0046250;Roman Holiday (1953)
tt0046268;Le salaire de la peur (1953)
tt0046303;Shane (1953)
tt0046359;Stalag 17 (1953)
tt0046438;Tôkyô monogatari (1953)
tt0046451;Touchez pas au grisbi (1954)
tt0046478;Ugetsu monogatari (1953)
tt0046487;Les vacances de Monsieur Hulot (1953)
tt0046534;The War of the Worlds (1953)
tt0046816;The Caine Mutiny (1954)
tt0046889;The Dam Busters (1955)
tt0046911;Les diaboliques (1955)
tt0046912;Dial M for Murder (1954)
tt0047030;The Glenn Miller Story (1954)
tt0047034;Gojira (1954)
tt0047094;Hobson's Choice (1954)
tt0047099;Huis-clos (1954)
tt0047296;On the Waterfront (1954)
tt0047396;Rear Window (1954)
tt0047417;Riot in Cell Block 11 (1954)
tt0047437;Sabrina (1954)
tt0047443;Salt of the Earth (1954)
tt0047444;Miyamoto Musashi (1954)
tt0047445;Sanshô dayû (1954)
tt0047464;Secret of the Incas (1954)
tt0047472;Seven Brides for Seven Brothers (1954)
tt0047478;Shichinin no samurai (1954)
tt0047522;A Star Is Born (1954)
tt0047528;La strada (1954)
tt0047542;Suddenly (1954)
tt0047550;Susan Slept Here (1954)
tt0047673;White Christmas (1954)
tt0047677;The Wild One (1953)
tt0047794;Abbott and Costello Meet the Keystone Kops (1955)
tt0047795;Abbott and Costello Meet the Mummy (1955)
tt0047811;All That Heaven Allows (1955)
tt0047834;Animal Farm (1954)
tt0047849;Bad Day at Black Rock (1955)
tt0047878;The Big Combo (1955)
tt0047892;Bob le flambeur (1956)
tt0047945;The Colditz Story (1955)
tt0047947;Conquest of Space (1955)
tt0047985;The Desperate Hours (1955)
tt0048021;Du rififi chez les hommes (1955)
tt0048028;East of Eden (1955)
tt0048140;Guys and Dolls (1955)
tt0048254;Killer's Kiss (1955)
tt0048261;Kiss Me Deadly (1955)
tt0048280;Lady and the Tramp (1955)
tt0048313;The Looters (1955)
tt0048342;The Man from Laramie (1955)
tt0048347;The Man with the Golden Arm (1955)
tt0048356;Marty (1955)
tt0048380;Mister Roberts (1955)
tt0048424;The Night of the Hunter (1955)
tt0048445;Oklahoma! (1955)
tt0048452;Ordet (1955)
tt0048543;Razzia sur la chnouf (1955)
tt0048545;Rebel Without a Cause (1955)
tt0048579;Zoku Miyamoto Musashi: Ichijôji no kettô (1955)
tt0048624;Sissi (1955)
tt0048667;Strategic Air Command (1955)
tt0048696;Tarantula (1955)
tt0048728;To Catch a Thief (1955)
tt0048729;To Hell and Back (1955)
tt0048966;Attack (1956)
tt0048973;Baby Doll (1956)
tt0048977;The Bad Seed (1956)
tt0049006;Beyond a Reasonable Doubt (1956)
tt0049010;Bigger Than Life (1956)
tt0049038;Bus Stop (1956)
tt0049055;Carousel (1956)
tt0049096;The Court Jester (1955)
tt0049169;Earth vs. the Flying Saucers (1956)
tt0049223;Forbidden Planet (1956)
tt0049261;Giant (1956)
tt0049366;Invasion of the Body Snatchers (1956)
tt0049406;The Killing (1956)
tt0049408;The King and I (1956)
tt0049456;Lust for Life (1956)
tt0049470;The Man Who Knew Too Much (1956)
tt0049471;The Man Who Never Was (1956)
tt0049710;Miyamoto Musashi kanketsuhen: kettô Ganryûjima (1956)
tt0049730;The Searchers (1956)
tt0049778;Somebody Up There Likes Me (1956)
tt0049833;The Ten Commandments (1956)
tt0049902;Un condamné à mort s'est échappé ou Le vent souffle où il veut (1956)
tt0050083;12 Angry Men (1957)
tt0050091;Seven Waves Away (1957)
tt0050105;An Affair to Remember (1957)
tt0050156;The Bachelor Party (1957)
tt0050212;The Bridge on the River Kwai (1957)
tt0050330;Donzoko (1957)
tt0050356;The Enemy Below (1957)
tt0050371;A Face in the Crowd (1957)
tt0050419;Funny Face (1957)
tt0050432;The Giant Claw (1957)
tt0050539;The Incredible Shrinking Man (1957)
tt0050545;Invasion of the Saucer Men (1957)
tt0050585;Kanal (1957)
tt0050613;Kumonosu-jô (1957)
tt0050634;Letyat zhuravli (1957)
tt0050706;Mon oncle (1958)
tt0050737;My Gun Is Quick (1957)
tt0050766;Night of the Demon (1957)
tt0050798;Old Yeller (1957)
tt0050825;Paths of Glory (1957)
tt0050903;The River's Edge (1957)
tt0050976;Det sjunde inseglet (1957)
tt0050986;Smultronstället (1957)
tt0051003;The Spirit of St. Louis (1957)
tt0051036;Sweet Smell of Success (1957)
tt0051077;The Three Faces of Eve (1957)
tt0051093;Tôkyô boshoku (1957)
tt0051201;Witness for the Prosecution (1957)
tt0051337;The 7th Voyage of Sinbad (1958)
tt0051365;Ansiktet (1958)
tt0051378;Ascenseur pour l'échafaud (1958)
tt0051383;Auntie Mame (1958)
tt0051418;The Blob (1958)
tt0051454;Carve Her Name with Pride (1958)
tt0051459;Cat on a Hot Tin Roof (1958)
tt0051525;The Defiant Ones (1958)
tt0051588;Es geschah am hellichten Tag (1958)
tt0051739;The Horse's Mouth (1958)
tt0051744;House on Haunted Hill (1959)
tt0051758;I Want to Live! (1958)
tt0051808;Kakushi-toride no san-akunin (1958)
tt0051845;The Last Hurrah (1958)
tt0051879;Look Back in Anger (1959)
tt0051952;A Movie (1958)
tt0052005;No Time for Sergeants (1958)
tt0052027;The Old Man and the Sea (1958)
tt0052077;Plan 9 from Outer Space (1959)
tt0052080;Popiól i diament (1958)
tt0052104;Queen of Outer Space (1958)
tt0052216;I soliti ignoti (1958)
tt0052225;South Pacific (1958)
tt0052311;Touch of Evil (1958)
tt0052357;Vertigo (1958)
tt0052365;The Vikings (1958)
tt0052561;Anatomy of a Murder (1959)
tt0052600;Ballada o soldate (1959)
tt0052618;Ben-Hur (1959)
tt0052654;Die Brücke (1959)
tt0052655;A Bucket of Blood (1959)
tt0052698;Classe tous risques (1960)
tt0052700;Compulsion (1959)
tt0052722;Darby O'Gill and the Little People (1959)
tt0052832;The Fugitive Kind (1960)
tt0052893;Hiroshima mon amour (1959)
tt0052918;Imitation of Life (1959)
tt0052997;The League of Gentlemen (1960)
tt0053084;The Mouse That Roared (1959)
tt0053114;Ningen no jôken (1959/I)
tt0053125;North by Northwest (1959)
tt0053133;Odds Against Tomorrow (1959)
tt0053137;On the Beach (1959)
tt0053168;Pickpocket (1959)
tt0053172;Pillow Talk (1959)
tt0053198;Les quatre cents coups (1959)
tt0053221;Rio Bravo (1959)
tt0053250;Der schweigende Stern (1960)
tt0053291;Some Like It Hot (1959)
tt0053318;Suddenly, Last Summer (1959)
tt0053458;Yesterday's Enemy (1959)
tt0053459;Les yeux sans visage (1960)
tt0053604;The Apartment (1960)
tt0053619;L'avventura (1960)
tt0053779;La dolce vita (1960)
tt0053925;House of Usher (1960)
tt0053935;Ice Cold in Alex (1958)
tt0053946;Inherit the Wind (1960)
tt0053967;The Young One (1960)
tt0053976;Jungfrukällan (1960)
tt0054033;The Little Shop of Horrors (1960)
tt0054047;The Magnificent Seven (1960)
tt0054067;La maschera del demonio (1960)
tt0054130;La notte (1961)
tt0054167;Peeping Tom (1960)
tt0054189;Plein soleil (1960)
tt0054215;Psycho (1960)
tt0054269;Saturday Night and Sunday Morning (1960)
tt0054331;Spartacus (1960)
tt0054357;Swiss Family Robinson (1960)
tt0054366;Taiyô no hakaba (1960)
tt0054407;Le trou (1960)
tt0054425;Un taxi pour Tobrouk (1961)
tt0054460;Warui yatsu hodo yoku nemuru (1960)
tt0054469;Where the Boys Are (1960)
tt0054494;Zazie dans le métro (1960)
tt0054632;L'année dernière à Marienbad (1961)
tt0054665;Baron Prásil (1962)
tt0054687;Blast of Silence (1961)
tt0054692;Blue Hawaii (1961)
tt0054698;Breakfast at Tiffany's (1961)
tt0054743;The Children's Hour (1961)
tt0054790;The Day the Earth Caught Fire (1961)
tt0054953;The Guns of Navarone (1961)
tt0054997;The Hustler (1961)
tt0055018;The Innocents (1961)
tt0055024;It Happened Here (1965)
tt0055031;Judgment at Nuremberg (1961)
tt0055032;Jules et Jim (1962)
tt0055082;Léon Morin, prêtre (1961)
tt0055153;Matka Joanna od aniolów (1961)
tt0055207;Mysterious Island (1961)
tt0055256;One, Two, Three (1961)
tt0055277;The Parent Trap (1961)
tt0055278;Paris Blues (1961)
tt0055304;Pit and the Pendulum (1961)
tt0055353;A Raisin in the Sun (1961)
tt0055471;Splendor in the Grass (1961)
tt0055499;Såsom i en spegel (1961)
tt0055505;Taste of Fear (1961)
tt0055506;A Taste of Honey (1961)
tt0055572;Une femme est une femme (1961)
tt0055601;Viridiana (1961)
tt0055614;West Side Story (1961)
tt0055618;Whistle Down the Wind (1961)
tt0055630;Yôjinbô (1961)
tt0055798;Birdman of Alcatraz (1962)
tt0055824;Cape Fear (1962)
tt0055830;Carnival of Souls (1962)
tt0055850;Chûshingura (1962)
tt0055852;Cléo de 5 à 7 (1962)
tt0055872;The Creation of the Humanoids (1962)
tt0055892;David and Lisa (1962)
tt0055894;The Day of the Triffids (1962)
tt0055910;Les dimanches de Ville d'Avray (1962)
tt0055916;The Dock Brief (1962)
tt0055928;Dr. No (1962)
tt0056058;Seppuku (1962)
tt0056111;Ivanovo detstvo (1962)
tt0056119;La jetée (1962)
tt0056141;A Kind of Loving (1962)
tt0056172;Lawrence of Arabia (1962)
tt0056193;Lolita (1962)
tt0056194;The Loneliness of the Long Distance Runner (1962)
tt0056195;Lonely Are the Brave (1962)
tt0056196;Long Day's Journey Into Night (1962)
tt0056197;The Longest Day (1962)
tt0056217;The Man Who Shot Liberty Valance (1962)
tt0056218;The Manchurian Candidate (1962)
tt0056241;The Miracle Worker (1962)
tt0056255;Mr. Hobbs Takes a Vacation (1962)
tt0056262;The Music Man (1962)
tt0056264;Mutiny on the Bounty (1962)
tt0056279;Night of the Eagle (1962)
tt0056291;Nóz w wodzie (1962)
tt0056300;La rivière du hibou (1962)
tt0056331;Panic in Year Zero! (1962)
tt0056436;Sahib Bibi Aur Ghulam (1962)
tt0056443;Tsubaki Sanjûrô (1962)
tt0056512;Il sorpasso (1962)
tt0056592;To Kill a Mockingbird (1962)
tt0056663;Vivre sa vie: Film en douze tableaux (1962)
tt0056687;What Ever Happened to Baby Jane? (1962)
tt0056714;Zatôichi monogatari (1962)
tt0056732;El Ángel Exterminador (1962)
tt0056800;55 Days at Peking (1963)
tt0056801;8½ (1963)
tt0056825;America America (1963)
tt0056844;Az prijde kocour (1963)
tt0056868;Billy Liar (1963)
tt0056869;The Birds (1963)
tt0056875;Blood Feast (1963)
tt0056919;Cerný Petr (1964)
tt0056923;Charade (1963)
tt0056937;Cleopatra (1963)
tt0057012;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
tt0057058;Le feu follet (1963)
tt0057076;From Russia with Love (1963)
tt0057091;Il gattopardo (1963)
tt0057102;The Girl Hunters (1963)
tt0057115;The Great Escape (1963)
tt0057129;The Haunting (1963)
tt0057163;Hud (1963)
tt0057176;L'immortelle (1963)
tt0057193;It's a Mad Mad Mad Mad World (1963)
tt0057197;Jason and the Argonauts (1963)
tt0057238;Kyônetsu no kisetsu (1960)
tt0057251;Lilies of the Field (1963)
tt0057261;Lord of the Flies (1963)
tt0057344;Mélodie en sous-sol (1963)
tt0057345;Le mépris (1963)
tt0057358;Nattvardsgästerna (1963)
tt0057372;The Nutty Professor (1963)
tt0057401;Paranoiac (1963)
tt0057413;The Pink Panther (1963)
tt0057427;Le procès (1962)
tt0057495;Shock Corridor (1963)
tt0057546;The Sword in the Stone (1963)
tt0057565;Tengoku to jigoku (1963)
tt0057578;This Sporting Life (1963)
tt0057591;Les tontons flingueurs (1963)
tt0057643;El verdugo (1963)
tt0057829;Akai satsui (1964)
tt0057869;Bande à part (1964)
tt0057870;Les Barbouzes (1964)
tt0058003;Il deserto rosso (1964)
tt0058006;Deus e o Diabo na Terra do Sol (1964)
tt0058083;Fail-Safe (1964)
tt0058100;First Men in the Moon (1964)
tt0058150;Goldfinger (1964)
tt0058182;A Hard Day's Night (1964)
tt0058203;L'homme de Rio (1964)
tt0058212;How to Murder Your Wife (1965)
tt0058265;Kiss Me, Stupid (1964)
tt0058279;Kaidan (1964)
tt0058323;Man in the Middle (1964)
tt0058329;Marnie (1964)
tt0058331;Mary Poppins (1964)
tt0058333;The Masque of the Red Death (1964)
tt0058385;My Fair Lady (1964)
tt0058390;The Naked Kiss (1964)
tt0058404;The Night of the Iguana (1964)
tt0058430;Onibaba (1964)
tt0058450;Les parapluies de Cherbourg (1964)
tt0058453;Paris - When It Sizzles (1964)
tt0058461;Per un pugno di dollari (1964)
tt0058530;Robinson Crusoe on Mars (1964)
tt0058548;Santa Claus Conquers the Martians (1964)
tt0058557;Seance on a Wet Afternoon (1964)
tt0058567;6 donne per l'assassino (1964)
