ID,# pos actors,# neg actors,# actors,# pos genres,# neg_genres,# genres,# pos movies,# neg movies,# movies,# pos keywords,# neg keywords,# keywords
1r6ft3,0,0,0,0,0,0,5,1,6,6,1,7
1r7hdy,0,0,0,0,0,0,2,1,3,2,1,3
1rjpjz,0,0,0,1,0,1,7,1,8,1,1,2
1rjtbb,0,0,0,0,0,0,1,1,2,6,1,7
1rt5w0,0,0,0,1,0,1,2,1,3,1,1,2
1rv3yq,0,0,0,0,0,0,9,1,10,6,1,7
1s0njs,0,0,0,0,0,0,2,2,4,3,1,4
1s2652,0,0,0,0,0,0,2,1,3,6,1,7
1s3o0i,0,0,0,0,0,0,3,1,4,1,1,2
1sa06l,0,0,0,0,0,0,4,1,5,4,1,5
1se33p,0,0,0,0,0,0,3,1,4,4,1,5
1sh9jw,0,0,0,1,0,1,2,1,3,2,1,3
1smv08,0,0,0,0,0,0,36,6,42,1,1,2
1svmxs,0,0,0,1,0,1,3,1,4,1,1,2
1szd0o,0,0,0,0,0,0,3,1,4,4,1,5
1t074y,0,0,0,1,1,2,2,1,3,1,4,5
1t4589,0,0,0,2,0,2,5,1,6,4,1,5
1tbbeg,0,0,0,0,0,0,1,1,2,1,1,2
1tfhbo,0,0,0,0,0,0,12,1,13,1,1,2
1tiymz,0,0,0,0,0,0,1,1,2,2,1,3
1tkhow,0,0,0,0,0,0,2,1,3,1,1,2
1to2tk,0,0,0,2,0,2,6,1,7,1,1,2
1tp9g3,0,0,0,0,0,0,3,1,4,4,1,5
1tspui,0,0,0,0,0,0,3,1,4,5,1,6
1tt1vz,0,0,0,1,0,1,3,1,4,4,1,5
1tw107,0,0,0,0,0,0,2,1,3,3,1,4
1u0asu,0,0,0,1,0,1,1,1,2,1,1,2
1u2rei,0,0,0,0,0,0,2,1,3,2,1,3
1u3yad,0,0,0,0,0,0,1,1,2,2,1,3
1u70fq,0,0,0,0,0,0,3,1,4,1,1,2
1u781b,0,0,0,2,0,2,5,1,6,1,1,2
1u7upx,0,0,0,0,0,0,1,1,2,1,1,2
1u8bk7,0,0,0,0,0,0,3,1,4,1,1,2
1u9ziu,0,0,0,1,0,1,4,1,5,1,1,2
1ugsqi,0,0,0,0,0,0,1,1,2,1,1,2
1uhd9b,0,0,0,0,0,0,3,1,4,2,1,3
1uhu1g,0,0,0,0,0,0,2,1,3,2,1,3
1uiu4j,0,0,0,0,0,0,3,1,4,2,1,3
1uk1wu,0,0,0,2,0,2,5,1,6,1,1,2
1ukfo2,0,0,0,0,0,0,2,1,3,2,3,5
1uqqbi,0,0,0,0,0,0,9,1,10,6,1,7
1ush5m,0,0,0,0,0,0,2,1,3,6,1,7
1uw2r1,0,0,0,2,1,3,3,1,4,1,1,2
1uxl3x,0,0,0,0,0,0,2,1,3,5,1,6
1v0aho,0,0,0,0,0,0,12,1,13,2,1,3
1v34ha,0,0,0,0,0,0,3,1,4,3,1,4
1v5py5,0,0,0,1,0,1,9,1,10,2,1,3
1v9ei3,0,0,0,0,0,0,1,1,2,5,1,6
1vdipb,1,0,1,0,0,0,1,1,2,6,1,7
1vdtqq,0,0,0,2,0,2,31,1,32,3,1,4
1vgkf6,0,0,0,3,0,3,3,1,4,13,1,14
1vmsun,0,0,0,0,0,0,4,1,5,1,1,2
1vppo2,0,0,0,1,0,1,13,1,14,2,1,3
1vu9ad,0,0,0,0,0,0,1,1,2,1,1,2
1w13p1,0,0,0,0,0,0,2,1,3,6,2,8
1w3fzr,0,0,0,1,0,1,1,1,2,1,1,2
1w3q0a,0,0,0,2,0,2,4,1,5,1,1,2
1w46q5,0,0,0,1,0,1,2,1,3,6,1,7
1waqxr,0,0,0,1,0,1,1,1,2,7,1,8
1wg0so,0,0,0,2,0,2,11,1,12,8,1,9
1wli1e,0,0,0,0,0,0,2,1,3,4,1,5
1wpmk2,0,0,0,0,0,0,1,1,2,2,1,3
1wt863,0,0,0,0,0,0,3,1,4,3,1,4
1x6dro,1,0,1,0,0,0,3,1,4,5,1,6
1xeoac,0,0,0,0,0,0,2,1,3,5,1,6
1xeyz5,0,0,0,0,0,0,5,1,6,3,1,4
1xkou8,0,0,0,0,0,0,5,1,6,1,1,2
1xmlya,0,0,0,0,0,0,1,1,2,1,1,2
1xwwef,0,0,0,0,0,0,3,1,4,5,1,6
1y05jk,0,0,0,0,1,1,4,1,5,4,1,5
1y1pc9,0,0,0,1,0,1,9,1,10,1,1,2
1y2ng4,0,0,0,0,0,0,1,1,2,1,1,2
1ybcoc,0,0,0,0,0,0,1,1,2,1,1,2
1yg0cz,0,0,0,0,0,0,1,1,2,5,1,6
1ymvd2,0,0,0,1,0,1,6,1,7,5,1,6
1yu3kc,0,0,0,0,0,0,1,1,2,1,1,2
1ywzi2,0,0,0,0,0,0,5,1,6,5,1,6
1z0un5,0,0,0,1,0,1,1,1,2,1,1,2
1z4h6t,0,0,0,0,0,0,4,1,5,3,1,4
1z8d6b,0,0,0,2,0,2,1,1,2,2,1,3
1z9yqq,0,0,0,0,0,0,1,1,2,3,1,4
1zchec,0,0,0,0,0,0,4,1,5,1,1,2
1zh7ep,0,0,0,0,0,0,3,1,4,2,1,3
1zolqw,0,0,0,0,0,0,3,1,4,1,1,2
1zp2tw,2,0,2,0,0,0,2,1,3,1,1,2
1zw3s6,1,0,1,1,0,1,1,1,2,6,1,7
209cyx,0,0,0,1,0,1,3,1,4,3,1,4
20brzp,0,0,0,0,0,0,1,1,2,3,1,4
20cz7f,0,0,0,0,0,0,2,1,3,6,1,7
20ihmw,0,0,0,0,0,0,1,1,2,2,1,3
20jkob,0,0,0,0,0,0,4,1,5,1,1,2
20o3xm,2,0,2,0,0,0,8,1,9,5,1,6
20ximc,0,0,0,1,0,1,8,1,9,1,1,2
213rlh,0,0,0,0,0,0,3,1,4,1,1,2
215vje,1,0,1,0,0,0,1,1,2,2,1,3
21n7vi,0,0,0,0,0,0,4,1,5,1,1,2
222ega,0,0,0,0,0,0,3,1,4,1,1,2
